P,tau2,mu,s2_ce,var_ce,se_ce,ef_ce,s2_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
GMM_scale_10.00,0.55,0.78,1.1582394,0.35422617,4.9116977e-07,51.86469,1.2751855,0.13800251,1.9429058e-07,51.677483,0.3895887,0.0073982095
GMM_scale_10.00,0.55,0.79999995,1.1898372,0.32658267,4.527731e-07,51.042793,1.3099957,0.1332457,1.8781961e-07,50.84574,0.40799993,0.0076433215
GMM_scale_10.00,0.55,0.82,1.2222352,0.30114645,4.1745037e-07,50.237507,1.3456901,0.13026018,1.8400887e-07,50.03306,0.43254763,0.007973113
GMM_scale_10.00,0.55,0.84,1.2554331,0.27774993,3.8496705e-07,49.44908,1.3822696,0.12885231,1.8250721e-07,49.239304,0.4639148,0.008394308
GMM_scale_10.00,0.55,0.85999995,1.289431,0.2562352,3.5510288e-07,48.677628,1.4197345,0.12883851,1.8298984e-07,48.46425,0.50281346,0.008913565
GMM_scale_10.00,0.55,0.88,1.3242289,0.23645487,3.276523e-07,47.92317,1.4580829,0.13004552,1.8516809e-07,47.707657,0.5499803,0.009537743
GMM_scale_10.00,0.55,0.9,1.3598266,0.21827142,3.0242296e-07,47.185688,1.4973205,0.13230531,1.8878255e-07,46.969223,0.6061504,0.010273714
GMM_scale_10.00,0.55,0.91999996,1.3962246,0.2015568,2.792364e-07,46.46504,1.5374418,0.13546719,1.9360382e-07,46.2486,0.67210424,0.011128863
GMM_scale_10.00,0.55,0.94,1.4334226,0.18619235,2.5792698e-07,45.761032,1.5784497,0.13938856,1.9944535e-07,45.54541,0.7486267,0.012111306
GMM_scale_10.00,0.55,0.96,1.4714205,0.1720683,2.3834151e-07,45.07343,1.620343,0.14393897,2.0611222e-07,44.85928,0.83652234,0.01322939
GMM_scale_10.00,0.55,0.97999996,1.5102183,0.15908307,2.2033856e-07,44.40195,1.6631234,0.14899951,2.1346068e-07,44.189774,0.9366145,0.014492095
GMM_scale_10.00,0.55,1.0,1.5498163,0.14714292,2.037875e-07,43.746273,1.7067921,0.15446284,2.2136018e-07,43.536476,1.0497471,0.015910171
GMM_scale_10.00,0.55,1.02,1.5902139,0.13616176,1.8856831e-07,43.10607,1.7513477,0.16023076,2.2966977e-07,42.898994,1.1767677,0.017492637
GMM_scale_10.00,0.55,1.04,1.6314117,0.1260601,1.7457e-07,42.480995,1.79679,0.16621971,2.3829023e-07,42.276855,1.3185751,0.019250635
GMM_scale_10.00,0.55,1.06,1.6734097,0.11676506,1.6169145e-07,41.870655,1.8431199,0.17235003,2.4711917e-07,41.669674,1.4760412,0.021195065
GMM_scale_10.00,0.55,1.0799999,1.7162074,0.10820967,1.4983928e-07,41.27471,1.8903382,0.17855458,2.560633e-07,41.077023,1.6500797,0.023337254
GMM_scale_10.00,0.55,1.1,1.7598056,0.10033252,1.3892827e-07,40.692757,1.9384449,0.18477432,2.650437e-07,40.49848,1.8416195,0.02568873
GMM_scale_10.00,0.55,1.12,1.8042035,0.093077295,1.2887972e-07,40.12444,1.9874394,0.19095568,2.7398642e-07,39.93362,2.0515819,0.028260643
GMM_scale_10.00,0.55,1.14,1.8494014,0.08639233,1.1962214e-07,39.56937,2.0373237,0.1970547,2.8283273e-07,39.38209,2.2809281,0.031066092
GMM_scale_10.00,0.55,1.16,1.8953992,0.08023046,1.11089705e-07,39.027206,2.0880952,0.20303369,2.9152457e-07,38.84348,2.530631,0.034115255
GMM_scale_10.00,0.55,1.18,1.9421968,0.07454828,1.032223e-07,38.497536,2.1397576,0.20886101,3.0002377e-07,38.31741,2.8016877,0.037421733
GMM_scale_10.00,0.55,1.1999999,1.9897947,0.06930629,9.5965e-08,37.98005,2.1923106,0.2145108,3.0828002e-07,37.803505,3.0951128,0.040997658
GMM_scale_10.00,0.55,1.22,2.038193,0.06446815,8.926727e-08,37.47438,2.2457545,0.21995912,3.1626473e-07,37.301437,3.4119036,0.044856012
GMM_scale_10.00,0.55,1.24,2.0873907,0.060000785,8.3083165e-08,36.9802,2.3000872,0.22518915,3.239514e-07,36.810833,3.7531035,0.049008027
GMM_scale_10.00,0.55,1.26,2.1373887,0.055873778,7.737072e-08,36.49718,2.3553128,0.23018691,3.313205e-07,36.33137,4.119766,0.053467937
GMM_scale_10.00,0.55,1.28,2.1881862,0.05205941,7.209117e-08,36.024986,2.411425,0.2349407,3.3834218e-07,35.862736,4.512934,0.05824687
GMM_scale_10.00,0.55,1.3,2.2397842,0.048532262,6.720935e-08,35.563316,2.4684336,0.23944558,3.450223e-07,35.40458,4.93374,0.06336014
GMM_scale_10.00,0.55,1.3199999,2.292182,0.045269042,6.269303e-08,35.111897,2.526332,0.24369277,3.5133203e-07,34.956635,5.38321,0.06881943
GMM_scale_10.00,0.55,1.3399999,2.3453798,0.042248536,5.8512722e-08,34.670403,2.585122,0.24768367,3.5728988e-07,34.518604,5.862539,0.07463854
GMM_scale_10.00,0.55,1.36,2.3993778,0.039451253,5.4641404e-08,34.238564,2.644807,0.2514126,3.628593e-07,34.09017,6.3727407,0.08082996
GMM_scale_10.00,0.55,1.38,2.4541757,0.03685938,5.1054464e-08,33.8161,2.7053828,0.25488737,3.6807444e-07,33.671093,6.9151297,0.08740858
GMM_scale_10.00,0.55,1.4,2.5097735,0.034456585,4.7729202e-08,33.402786,2.766853,0.2581034,3.7291642e-07,33.26111,7.4906845,0.0943893
GMM_scale_10.00,0.55,1.42,2.566171,0.03222792,4.464489e-08,32.998318,2.8292136,0.26106858,3.7739508e-07,32.85994,8.100697,0.10178484
GMM_scale_10.00,0.55,1.4399999,2.6233692,0.030159678,4.1782613e-08,32.60248,2.892472,0.26378554,3.8151677e-07,32.467346,8.746298,0.109607615
GMM_scale_10.00,0.55,1.4599999,2.6813672,0.028239325,3.912499e-08,32.215015,2.9566224,0.2662619,3.852855e-07,32.083084,9.428763,0.11787539
GMM_scale_10.00,0.55,1.48,2.7401655,0.026455333,3.6656008e-08,31.835724,3.0216713,0.2685028,3.887142e-07,31.706923,10.149288,0.12660247
GMM_scale_10.00,0.55,1.5,2.799763,0.024797186,3.4361157e-08,31.46436,3.0876124,0.27051282,3.9180404e-07,31.338654,10.909013,0.13579845
GMM_scale_10.00,0.55,1.52,2.860161,0.023255179,3.2226982e-08,31.100702,3.1544476,0.27230176,3.9457234e-07,30.978043,11.709295,0.14548391
GMM_scale_10.00,0.55,1.54,2.9213586,0.021820428,3.024119e-08,30.744562,3.222181,0.27387923,3.970304e-07,30.624866,12.551506,0.15567547
GMM_scale_10.00,0.55,1.56,2.9833567,0.020484788,2.8392538e-08,30.39571,3.2908113,0.2752459,3.9917953e-07,30.278954,13.4366,0.16638029
GMM_scale_10.00,0.55,1.5799999,3.0461543,0.019240743,2.667056e-08,30.053976,3.3603387,0.27641535,4.0103544e-07,29.94008,14.366148,0.17762084
GMM_scale_10.00,0.55,1.5999999,3.109752,0.018081432,2.5065832e-08,29.719158,3.4307613,0.27739558,4.026129e-07,29.60807,15.34146,0.18940824
GMM_scale_10.00,0.55,1.62,3.1741502,0.017000522,2.3569516e-08,29.39108,3.5020828,0.27819213,4.0392126e-07,29.282734,16.36374,0.20176275
GMM_scale_10.00,0.55,1.64,3.2393484,0.015992189,2.2173635e-08,29.06957,3.5743046,0.2788151,4.0497218e-07,28.963894,17.434454,0.21469896
GMM_scale_10.00,0.55,1.66,3.305346,0.015051088,2.0870711e-08,28.754436,3.6474206,0.27926987,4.05772e-07,28.651375,18.554796,0.22822729
GMM_scale_10.00,0.55,1.68,3.372144,0.014172283,1.9654e-08,28.445534,3.7214377,0.27956945,4.0634268e-07,28.344997,19.726494,0.242375
GMM_scale_10.00,0.55,1.6999999,3.4397416,0.013351247,1.8517204e-08,28.142675,3.796355,0.27971527,4.0668397e-07,28.04462,20.950499,0.2571506
GMM_scale_10.00,0.55,1.7199999,3.5081394,0.012583782,1.7454504e-08,27.845726,3.8721733,0.27971798,4.068162e-07,27.750074,22.22845,0.27257395
GMM_scale_10.00,0.55,1.74,3.5773375,0.011866045,1.6460595e-08,27.55453,3.9488862,0.2795857,4.0674234e-07,27.461206,23.561827,0.28865868
GMM_scale_10.00,0.55,1.76,3.6473355,0.011194487,1.5530558e-08,27.26893,4.026507,0.2793245,4.0647637e-07,27.177876,24.95197,0.3054262
GMM_scale_10.00,0.55,1.78,3.7181334,0.010565822,1.4659871e-08,26.988787,4.105027,0.278942,4.060281e-07,26.899927,26.400406,0.322892
GMM_scale_10.00,0.55,1.8,3.7897313,0.009977027,1.384435e-08,26.713964,4.1844487,0.27844474,4.0541255e-07,26.627216,27.908588,0.34107235
GMM_scale_10.00,0.55,1.8199999,3.8621287,0.009425309,1.3080138e-08,26.444334,4.2647676,0.27783975,4.0463874e-07,26.359627,29.478054,0.35999385
GMM_scale_10.00,0.55,1.8399999,3.9353268,0.008908083,1.2363606e-08,26.179754,4.345993,0.2771316,4.037009e-07,26.097021,31.110126,0.37966025
GMM_scale_10.00,0.55,1.86,4.009325,0.008422962,1.1691527e-08,25.920105,4.428125,0.27632776,4.0261835e-07,25.839256,32.80648,0.4000911
GMM_scale_10.00,0.55,1.88,4.0841227,0.007967743,1.1060813e-08,25.665253,4.511162,0.27543488,4.0140762e-07,25.58624,34.568745,0.42132133
GMM_scale_10.00,0.55,1.9,4.1597204,0.0075403834,1.0468657e-08,25.41509,4.595093,0.27445826,4.0007345e-07,25.33783,36.39845,0.44335908
GMM_scale_10.00,0.55,1.92,4.2361183,0.007138995,9.912439e-09,25.1695,4.679941,0.27340144,3.9860902e-07,25.093899,38.29691,0.46621105
GMM_scale_10.00,0.55,1.9399999,4.313316,0.0067618215,9.389731e-09,24.928362,4.7656817,0.2722713,3.9703966e-07,24.85438,40.265972,0.48991832
GMM_scale_10.00,0.55,1.9599999,4.391314,0.006407249,8.898299e-09,24.69157,4.852334,0.2710717,3.9536468e-07,24.619106,42.307037,0.5144807
GMM_scale_10.00,0.55,1.9799999,4.4701114,0.006073773,8.436067e-09,24.459019,4.9398923,0.2698087,3.9359094e-07,24.38801,44.42193,0.53992367
GMM_scale_10.00,0.55,2.0,4.54971,0.005759994,8.001095e-09,24.2306,5.028361,0.2684857,3.9173216e-07,24.16098,46.61215,0.56627923
GMM_scale_2.00,0.75,0.0,0.7499077,1.0459175,1.5133338e-06,99.60872,0.75797457,0.12451534,1.8171606e-07,99.60852,0.11904891,0.0021689173
GMM_scale_2.00,0.75,0.02,0.75030655,1.0448686,1.5098811e-06,99.54184,0.75865954,0.12586512,1.8373206e-07,99.544334,0.120460235,0.002201112
GMM_scale_2.00,0.75,0.04,0.7515054,1.0412407,1.5025837e-06,99.37297,0.7607315,0.12928279,1.8760859e-07,99.37914,0.12416225,0.002276348
GMM_scale_2.00,0.75,0.06,0.75350416,1.0350662,1.4915105e-06,99.104324,0.7641907,0.13456655,1.934179e-07,99.115875,0.13000767,0.0023935966
GMM_scale_2.00,0.75,0.08,0.756303,1.0263994,1.4767642e-06,98.73934,0.769037,0.141394,2.011772e-07,98.7586,0.1377573,0.0025512308
GMM_scale_2.00,0.75,0.099999994,0.7599018,1.0153172,1.4584838e-06,98.28242,0.7752706,0.14935996,2.1078458e-07,98.312325,0.14710669,0.0027456556
GMM_scale_2.00,0.75,0.12,0.7643006,1.001917,1.4368396e-06,97.73896,0.7828914,0.15801443,2.2192695e-07,97.78283,0.1577121,0.00297149
GMM_scale_2.00,0.75,0.14,0.7694995,0.9863162,1.4120305e-06,97.11494,0.79189974,0.16687816,2.340678e-07,97.1763,0.16919337,0.0032213735
GMM_scale_2.00,0.75,0.16,0.7754983,0.96864855,1.3842803e-06,96.41687,0.8022956,0.17549442,2.4653264e-07,96.49914,0.1811745,0.0034868175
GMM_scale_2.00,0.75,0.17999999,0.78229713,0.9490639,1.3538355e-06,95.65165,0.814079,0.1834555,2.5863008e-07,95.75784,0.19330153,0.0037593544
GMM_scale_2.00,0.75,0.19999999,0.78989595,0.92772466,1.320957e-06,94.826256,0.8272503,0.19042411,2.696568e-07,94.95867,0.2052593,0.004030715
GMM_scale_2.00,0.75,0.22,0.7982948,0.9048044,1.2859213e-06,93.947655,0.8418093,0.19614592,2.790459e-07,94.10775,0.21678267,0.004293748
GMM_scale_2.00,0.75,0.24,0.80749357,0.8804836,1.2490123e-06,93.022705,0.85775614,0.20045958,2.8637464e-07,93.210976,0.22766986,0.0045424975
GMM_scale_2.00,0.75,0.26,0.8174925,0.8549492,1.2105166e-06,92.05803,0.8750912,0.20329824,2.9139568e-07,92.27372,0.23778985,0.0047728876
GMM_scale_2.00,0.75,0.28,0.8282913,0.8283892,1.1707217e-06,91.05979,0.8938143,0.20468311,2.9399845e-07,91.30114,0.24708568,0.004982063
GMM_scale_2.00,0.75,0.29999998,0.83989,0.80099285,1.1299111e-06,90.03379,0.91392595,0.20470814,2.9428207e-07,90.29803,0.255568,0.005169638
GMM_scale_2.00,0.75,0.32,0.85228896,0.7729457,1.0883589e-06,88.985405,0.9354262,0.20352462,2.9244597e-07,89.26894,0.26331037,0.00533622
GMM_scale_2.00,0.75,0.34,0.86548775,0.7444296,1.0463301e-06,87.91953,0.958315,0.20132731,2.887663e-07,88.218025,0.27044508,0.005483868
GMM_scale_2.00,0.75,0.35999998,0.8794865,0.71561825,1.0040744e-06,86.84051,0.98259264,0.19833298,2.8362882e-07,87.149254,0.27714914,0.0056160353
GMM_scale_2.00,0.75,0.38,0.8942853,0.68667716,9.618257e-07,85.752396,1.0082594,0.19477424,2.7743445e-07,86.06622,0.28364748,0.0057370067
GMM_scale_2.00,0.75,0.39999998,0.9098843,0.6577616,9.1980024e-07,84.65864,1.0353156,0.19087146,2.706132e-07,84.97238,0.29018337,0.0058523687
GMM_scale_2.00,0.75,0.42,0.92628306,0.6290152,8.7819666e-07,83.5624,1.0637611,0.18683496,2.6354124e-07,83.8709,0.29702774,0.005967126
GMM_scale_2.00,0.75,0.44,0.9434818,0.6005696,8.3719215e-07,82.46644,1.0935962,0.18285738,2.5662925e-07,82.764725,0.30447325,0.0060880627
GMM_scale_2.00,0.75,0.45999998,0.96148056,0.57254297,7.9694314e-07,81.37313,1.1248213,0.17909665,2.5014864e-07,81.65646,0.3128091,0.006220734
GMM_scale_2.00,0.75,0.48,0.98027945,0.5450407,7.5758936e-07,80.28463,1.1574364,0.17568563,2.4438395e-07,80.54862,0.32233486,0.0063716397
GMM_scale_2.00,0.75,0.5,0.9998784,0.51815444,7.1924524e-07,79.20274,1.1914419,0.1727264,2.3949565e-07,79.4434,0.33334926,0.006546281
GMM_scale_2.00,0.75,0.52,1.0202771,0.49196312,6.820123e-07,78.12911,1.2268379,0.17028551,2.3559448e-07,78.34272,0.3461347,0.006749999
GMM_scale_2.00,0.75,0.53999996,1.0414759,0.46653262,6.459692e-07,77.06511,1.2636244,0.16841216,2.3272452e-07,77.24845,0.3609869,0.0069878222
GMM_scale_2.00,0.75,0.56,1.0634748,0.4419167,6.1117834e-07,76.011955,1.3018022,0.16711946,2.3087777e-07,76.1621,0.3781696,0.0072641466
GMM_scale_2.00,0.75,0.58,1.0862736,0.41815785,5.776882e-07,74.970695,1.3413709,0.16640684,2.2998982e-07,75.08503,0.3979522,0.0075824326
GMM_scale_2.00,0.75,0.59999996,1.1098725,0.39528748,5.455313e-07,73.94219,1.3823313,0.16625524,2.2999059e-07,74.01849,0.42059323,0.007946666
GMM_scale_2.00,0.75,0.62,1.1342714,0.37332767,5.1472637e-07,72.92723,1.4246838,0.16663042,2.3075992e-07,72.96352,0.44633824,0.008359337
GMM_scale_2.00,0.75,0.64,1.1594701,0.35229102,4.852809e-07,71.92643,1.4684281,0.16748886,2.321917e-07,71.921005,0.47542757,0.008823393
GMM_scale_2.00,0.75,0.65999997,1.1854689,0.33218262,4.571928e-07,70.94033,1.5135653,0.16878189,2.3418973e-07,70.89169,0.50809973,0.009341681
GMM_scale_2.00,0.75,0.68,1.2122678,0.31300008,4.3044855e-07,69.96933,1.5600952,0.17045075,2.3663102e-07,69.87625,0.5445709,0.0099163605
GMM_scale_2.00,0.75,0.7,1.2398666,0.29473507,4.0502968e-07,69.01376,1.6080182,0.17244029,2.394343e-07,68.87525,0.58506876,0.010550054
GMM_scale_2.00,0.75,0.71999997,1.2682656,0.2773738,3.8090826e-07,68.073906,1.6573343,0.17469315,2.4249923e-07,67.88911,0.6298113,0.011244821
GMM_scale_2.00,0.75,0.74,1.2974644,0.26089802,3.5805235e-07,67.14994,1.7080443,0.17715113,2.4576536e-07,66.9182,0.67900527,0.012003529
GMM_scale_2.00,0.75,0.76,1.327463,0.24528573,3.3642618e-07,66.24196,1.7601486,0.17976296,2.4915877e-07,65.96279,0.73287165,0.012828974
GMM_scale_2.00,0.75,0.78,1.3582618,0.23051181,3.159885e-07,65.35003,1.813647,0.18247512,2.5261852e-07,65.023186,0.7916085,0.013723053
GMM_scale_2.00,0.75,0.79999995,1.3898607,0.21654885,2.9669687e-07,64.474174,1.8685405,0.18524523,2.5610143e-07,64.099464,0.8554432,0.014689595
GMM_scale_2.00,0.75,0.82,1.4222597,0.20336747,2.7850592e-07,63.614338,1.9248292,0.18802787,2.5956416e-07,63.191807,0.924572,0.015731264
GMM_scale_2.00,0.75,0.84,1.4554583,0.19093709,2.6137e-07,62.7704,1.9825131,0.1907858,2.629566e-07,62.30023,0.9992076,0.016850302
GMM_scale_2.00,0.75,0.85999995,1.4894572,0.1792261,2.4524186e-07,61.942314,2.0415933,0.19348831,2.6626236e-07,61.424767,1.0795766,0.018051028
GMM_scale_2.00,0.75,0.88,1.524256,0.16820255,2.3007432e-07,61.129864,2.1020694,0.19610365,2.6945133e-07,60.56542,1.1658779,0.019335879
GMM_scale_2.00,0.75,0.9,1.5598549,0.1578343,2.158207e-07,60.332912,2.1639423,0.19861034,2.724925e-07,59.72213,1.258347,0.02070844
GMM_scale_2.00,0.75,0.91999996,1.5962536,0.14808942,2.0243453e-07,59.551258,2.2272127,0.20098755,2.7537436e-07,58.894817,1.357204,0.022171859
GMM_scale_2.00,0.75,0.94,1.6334527,0.13893613,1.8987028e-07,58.7847,2.29188,0.2032212,2.7808093e-07,58.08339,1.4626951,0.023730088
GMM_scale_2.00,0.75,0.96,1.6714513,0.13034366,1.7808362e-07,58.03297,2.357945,0.20529313,2.8059696e-07,57.287693,1.5750144,0.025386322
GMM_scale_2.00,0.75,0.97999996,1.7102501,0.12228169,1.6703157e-07,57.295853,2.425408,0.20719528,2.8290341e-07,56.507576,1.6944096,0.02714395
GMM_scale_2.00,0.75,1.0,1.7498492,0.114720754,1.5667224e-07,56.573082,2.4942698,0.2089206,2.8500628e-07,55.74287,1.821123,0.029006863
GMM_scale_2.00,0.75,1.02,1.7902478,0.10763264,1.4696577e-07,55.86441,2.5645316,0.21046643,2.8689e-07,54.993393,1.9554147,0.030979006
GMM_scale_2.00,0.75,1.04,1.8314466,0.10098994,1.3787364e-07,55.169594,2.6361923,0.21182893,2.8856275e-07,54.25894,2.0975251,0.033064216
GMM_scale_2.00,0.75,1.06,1.8734453,0.09476653,1.2935914e-07,54.488327,2.709254,0.2130099,2.9001214e-07,53.5393,2.2477334,0.03526593
GMM_scale_2.00,0.75,1.0799999,1.9162443,0.08893734,1.2138736e-07,53.820366,2.7837162,0.21400568,2.9124215e-07,52.834244,2.4062521,0.037588593
GMM_scale_2.00,0.75,1.1,1.9598433,0.08347841,1.13924585e-07,53.165436,2.8595793,0.214821,2.9225808e-07,52.14352,2.573372,0.040035613
GMM_scale_2.00,0.75,1.12,2.004242,0.07836717,1.0693945e-07,52.523293,2.9368446,0.21546213,2.930635e-07,51.4669,2.7493927,0.042611968
GMM_scale_2.00,0.75,1.14,2.0494409,0.07358195,1.0040181e-07,51.89364,3.0155113,0.2159321,2.9365896e-07,50.804157,2.9345798,0.04532133
GMM_scale_2.00,0.75,1.16,2.0954394,0.06910238,9.4283514e-08,51.27622,3.095581,0.21623486,2.9405146e-07,50.155003,3.1291957,0.04816779
GMM_scale_2.00,0.75,1.18,2.1422384,0.06490916,8.85578e-08,50.67078,3.177054,0.21637827,2.9424743e-07,49.519154,3.3335552,0.05115589
GMM_scale_2.00,0.75,1.1999999,2.1898372,0.06098403,8.3199375e-08,50.07708,3.2599304,0.21636763,2.9424902e-07,48.896427,3.5479393,0.05428986
GMM_scale_2.00,0.75,1.22,2.2382362,0.057309803,7.8184435e-08,49.49483,3.3442116,0.21621066,2.9407406e-07,48.286488,3.7726645,0.05757501
GMM_scale_2.00,0.75,1.24,2.2874348,0.053870372,7.349084e-08,48.92379,3.429897,0.21591435,2.9372126e-07,47.68914,4.008035,0.061014842
GMM_scale_2.00,0.75,1.26,2.3374338,0.05065055,6.909772e-08,48.363716,3.5169883,0.21548422,2.9319602e-07,47.104053,4.2543316,0.064613864
GMM_scale_2.00,0.75,1.28,2.3882325,0.047636017,6.4985194e-08,47.81438,3.605485,0.21493033,2.9252018e-07,46.530994,4.511929,0.06837802
GMM_scale_2.00,0.75,1.3,2.4398313,0.04481339,6.1134976e-08,47.275528,3.6953886,0.21425653,2.9168498e-07,45.96969,4.7810826,0.072311215
GMM_scale_2.00,0.75,1.3199999,2.4922302,0.042170122,5.7529846e-08,46.74695,3.786699,0.21347457,2.9071606e-07,45.419872,5.0622234,0.076418966
GMM_scale_2.00,0.75,1.3399999,2.5454288,0.039694507,5.415362e-08,46.22838,3.8794162,0.21258844,2.8960707e-07,44.881325,5.3556137,0.08070461
GMM_scale_2.00,0.75,1.36,2.599428,0.03737545,5.0991332e-08,45.719624,3.973543,0.21160498,2.883752e-07,44.353737,5.6616035,0.085175775
GMM_scale_2.00,0.75,1.38,2.6542265,0.035202745,4.8028724e-08,45.220455,4.069077,0.21053027,2.8702095e-07,43.836895,5.980507,0.08983536
GMM_scale_2.00,0.75,1.4,2.7098255,0.033166744,4.5252705e-08,44.730633,4.166021,0.20937386,2.8555723e-07,43.330524,6.312765,0.09468862
GMM_scale_2.00,0.75,1.42,2.7662246,0.03125844,4.2650885e-08,44.249985,4.264375,0.2081392,2.83991e-07,42.83438,6.6586556,0.09974292
GMM_scale_2.00,0.75,1.4399999,2.8234234,0.029469438,4.0211845e-08,43.778282,4.36414,0.20683369,2.823268e-07,42.348225,7.018583,0.10500161
GMM_scale_2.00,0.75,1.4599999,2.8814218,0.02779191,3.7924835e-08,43.315323,4.4653163,0.20546336,2.8058162e-07,41.871815,7.39292,0.11047119
GMM_scale_2.00,0.75,1.48,2.940221,0.026218511,3.577982e-08,42.86092,4.567905,0.20403244,2.7874546e-07,41.404926,7.781999,0.116154395
GMM_scale_2.00,0.75,1.5,2.9998195,0.024742411,3.3767467e-08,42.414875,4.6719055,0.20254895,2.7684385e-07,40.94732,8.186306,0.122063115
GMM_scale_2.00,0.75,1.52,3.0602186,0.023357263,3.187912e-08,41.97699,4.7773204,0.20101479,2.7487002e-07,40.498768,8.606093,0.12819715
GMM_scale_2.00,0.75,1.54,3.121417,0.022057084,3.010661e-08,41.547085,4.8841496,0.19943628,2.7283025e-07,40.059048,9.041824,0.13456295
GMM_scale_2.00,0.75,1.56,3.1834161,0.020836342,2.844234e-08,41.124977,4.9923925,0.19781785,2.7073864e-07,39.627945,9.493886,0.14116822
GMM_scale_2.00,0.75,1.5799999,3.2462149,0.019689862,2.6879327e-08,40.710484,5.1020513,0.19616432,2.6859217e-07,39.20525,9.9627075,0.14801767
GMM_scale_2.00,0.75,1.5999999,3.3098135,0.018612806,2.541089e-08,40.303444,5.2131267,0.19447863,2.664049e-07,38.790737,10.448647,0.15511966
GMM_scale_2.00,0.75,1.62,3.3742125,0.017600683,2.4030967e-08,39.903675,5.3256183,0.19276474,2.6417393e-07,38.384224,10.952117,0.16247869
GMM_scale_2.00,0.75,1.64,3.4394116,0.016649297,2.2733811e-08,39.51102,5.439528,0.19102775,2.6190725e-07,37.985504,11.473622,0.17010047
GMM_scale_2.00,0.75,1.66,3.50541,0.015754737,2.151406e-08,39.125305,5.554856,0.18927002,2.5961359e-07,37.59439,12.013531,0.17798978
GMM_scale_2.00,0.75,1.68,3.572209,0.01491335,2.0366773e-08,38.74639,5.6716022,0.18749383,2.5728423e-07,37.210697,12.572214,0.18615328
GMM_scale_2.00,0.75,1.6999999,3.6398077,0.0141217215,1.9287278e-08,38.374104,5.7897687,0.1857035,2.5493722e-07,36.83421,13.150203,0.19460168
GMM_scale_2.00,0.75,1.7199999,3.7082062,0.013376677,1.8271278e-08,38.0083,5.9093566,0.18390165,2.5257023e-07,36.464787,13.747932,0.2033371
GMM_scale_2.00,0.75,1.74,3.7774053,0.012675265,1.7314713e-08,37.648823,6.0303655,0.18209018,2.501872e-07,36.10224,14.365788,0.21236672
GMM_scale_2.00,0.75,1.76,3.8474042,0.012014715,1.6413813e-08,37.29555,6.1527967,0.18027169,2.477933e-07,35.746387,15.004242,0.22170173
GMM_scale_2.00,0.75,1.78,3.918203,0.011392448,1.5565073e-08,36.94832,6.2766504,0.17844881,2.4538477e-07,35.397087,15.663781,0.23134324
GMM_scale_2.00,0.75,1.8,3.989802,0.01080606,1.4765225e-08,36.607002,6.401927,0.17662445,2.429727e-07,35.054142,16.344944,0.24129763
GMM_scale_2.00,0.75,1.8199999,4.0622005,0.010253305,1.4011212e-08,36.271458,6.5286293,0.17479813,2.4055745e-07,34.71743,17.04798,0.25157487
GMM_scale_2.00,0.75,1.8399999,4.1353993,0.009732081,1.3300162e-08,35.941555,6.656756,0.1729737,2.3813928e-07,34.38677,17.77356,0.26218382
GMM_scale_2.00,0.75,1.86,4.2093987,0.009240429,1.2629402e-08,35.61718,6.78631,0.17115171,2.3571909e-07,34.062027,18.522053,0.27312523
GMM_scale_2.00,0.75,1.88,4.2841973,0.008776526,1.1996448e-08,35.298203,6.9172907,0.1693343,2.3330233e-07,33.74306,19.294003,0.28441203
GMM_scale_2.00,0.75,1.9,4.359796,0.008338664,1.1398987e-08,34.984474,7.0496984,0.16752273,2.3089511e-07,33.429718,20.089876,0.29604676
GMM_scale_2.00,0.75,1.92,4.4361954,0.007925246,1.0834844e-08,34.675922,7.1835375,0.16571876,2.2848948e-07,33.121876,20.910236,0.30804172
GMM_scale_2.00,0.75,1.9399999,4.5133934,0.007534783,1.0301963e-08,34.372383,7.3188047,0.16392271,2.2609787e-07,32.81939,21.755466,0.32040453
GMM_scale_2.00,0.75,1.9599999,4.5913925,0.007165872,9.798476e-09,34.073803,7.455502,0.16213626,2.237081e-07,32.522114,22.626173,0.33313286
GMM_scale_2.00,0.75,1.9799999,4.6701913,0.006817224,9.322599e-09,33.78001,7.5936313,0.16035949,2.2133517e-07,32.229965,23.522696,0.3462386
GMM_scale_2.00,0.75,2.0,4.7497907,0.0064876038,8.872653e-09,33.49093,7.733192,0.15859476,2.1897168e-07,31.942787,24.445814,0.35973623
