P,tau2,s2,mu_ce,var_ce,se_ce,ef_ce,mu_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
GMM_location_0.50,1.5,2.6,0.0,0.57666767,7.6170716e-07,86.00461,0.0,0.7119464,1.0061036e-06,86.00461,1.2345871,0.022909569
GMM_location_0.50,1.5,2.625,0.0,0.5711756,7.5445274e-07,85.8131,0.0,0.72828966,1.0293303e-06,85.8131,1.2750714,0.023643222
GMM_location_0.50,1.5,2.6499999,0.0,0.56578714,7.473352e-07,85.62151,0.0,0.74471575,1.0526729e-06,85.62151,1.3162472,0.024388896
GMM_location_0.50,1.5,2.675,0.0,0.5604993,7.4035074e-07,85.4299,0.0,0.7612227,1.0761299e-06,85.4299,1.3581153,0.02514663
GMM_location_0.50,1.5,2.6999998,0.0,0.5553096,7.3349565e-07,85.238365,0.0,0.77780735,1.0996959e-06,85.238365,1.4006734,0.025916371
GMM_location_0.50,1.5,2.725,0.0,0.55021495,7.2676613e-07,85.04694,0.0,0.79446864,1.1233693e-06,85.04694,1.4439242,0.026698163
GMM_location_0.50,1.5,2.75,0.0,0.545213,7.2015933e-07,84.855644,0.0,0.81120366,1.1471463e-06,84.855644,1.4878657,0.027491968
GMM_location_0.50,1.5,2.775,0.0,0.54030114,7.136714e-07,84.664604,0.0,0.8280107,1.1710249e-06,84.664604,1.5324985,0.028297802
GMM_location_0.50,1.5,2.8,0.0,0.5354771,7.072995e-07,84.47378,0.0,0.8448879,1.1950027e-06,84.47378,1.5778227,0.029115684
GMM_location_0.50,1.5,2.825,0.0,0.53073835,7.0103994e-07,84.28327,0.0,0.8618333,1.2190753e-06,84.28327,1.6238383,0.029945577
GMM_location_0.50,1.5,2.85,0.0,0.52608275,6.948907e-07,84.09311,0.0,0.878845,1.243241e-06,84.09311,1.6705451,0.030787481
GMM_location_0.50,1.5,2.875,0.0,0.5215081,6.8884816e-07,83.90331,0.0,0.8959218,1.2674976e-06,83.90331,1.7179443,0.03164144
GMM_location_0.50,1.5,2.8999999,0.0,0.5170124,6.8290984e-07,83.71393,0.0,0.9130611,1.2918433e-06,83.71393,1.7660332,0.0325074
GMM_location_0.50,1.5,2.925,0.0,0.5125934,6.770728e-07,83.524994,0.0,0.9302623,1.3162748e-06,83.524994,1.8148153,0.03338541
GMM_location_0.50,1.5,2.9499998,0.0,0.50824946,6.713351e-07,83.33655,0.0,0.94752306,1.3407902e-06,83.33655,1.8642874,0.03427542
GMM_location_0.50,1.5,2.9750001,0.0,0.50397843,6.656935e-07,83.14859,0.0,0.9648425,1.3653878e-06,83.14859,1.914452,0.035177466
GMM_location_0.50,1.5,3.0,0.0,0.49977863,6.601461e-07,82.96114,0.0,0.9822185,1.3900644e-06,82.96114,1.9653071,0.03609151
GMM_location_1.00,2.0,0.5,0.0,3.9970744,5.327079e-06,0.7733656,0.0,2.9162922,4.0701275e-06,0.7733656,0.7296067,0.0105225
GMM_location_1.00,2.0,0.525,0.0,3.8067374,5.0734075e-06,1.0143442,0.0,2.6745193,3.7317805e-06,1.0143442,0.7025752,0.010108698
GMM_location_1.00,2.0,0.55,0.0,3.633704,4.8427987e-06,1.338552,0.0,2.4566617,3.4269258e-06,1.338552,0.6760765,0.009703491
GMM_location_1.00,2.0,0.575,0.0,3.4757168,4.6322425e-06,1.7747399,0.0,2.2595992,3.1511947e-06,1.7747399,0.65011024,0.009306878
GMM_location_1.00,2.0,0.59999996,0.0,3.330896,4.4392327e-06,2.3605165,0.0,2.0807328,2.9009457e-06,2.3605165,0.62467664,0.008918857
GMM_location_1.00,2.0,0.625,0.0,3.1976595,4.261664e-06,3.1440272,0.0,1.9178784,2.673121e-06,3.1440272,0.5997757,0.008539433
GMM_location_1.00,2.0,0.65,0.0,3.0746727,4.097752e-06,4.1850896,0.0,1.7691892,2.465135e-06,4.1850896,0.5754073,0.008168602
GMM_location_1.00,2.0,0.675,0.0,2.9607956,3.945983e-06,5.5549965,0.0,1.633091,2.2747818e-06,5.5549965,0.55157167,0.0078063714
GMM_location_1.00,2.0,0.7,0.0,2.8550532,3.8050557e-06,7.333702,0.0,1.508235,2.1001738e-06,7.333702,0.52826864,0.0074527394
GMM_location_1.00,2.0,0.725,0.0,2.756603,3.6738468e-06,9.603357,0.0,1.3934578,1.9396819e-06,9.603357,0.5054982,0.0071077063
GMM_location_1.00,2.0,0.75,0.0,2.6647165,3.5513863e-06,12.436703,0.0,1.2877522,1.7918961e-06,12.436703,0.48326048,0.0067712716
GMM_location_1.00,2.0,0.775,0.0,2.578758,3.4368254e-06,15.881157,0.0,1.1902394,1.6555845e-06,15.881157,0.4615553,0.0064434404
GMM_location_1.00,2.0,0.79999995,0.0,2.4981718,3.3294243e-06,19.940855,0.0,1.1001515,1.5296717e-06,19.940855,0.44038266,0.006124206
GMM_location_1.00,2.0,0.825,0.0,2.4224696,3.2285327e-06,24.562485,0.0,1.016814,1.4132152e-06,24.562485,0.41974273,0.005813578
GMM_location_1.00,2.0,0.85,0.0,2.3512201,3.133576e-06,29.631632,0.0,0.93963075,1.3053788e-06,29.631632,0.39963537,0.0055115554
GMM_location_1.00,2.0,0.875,0.0,2.2840424,3.0440444e-06,34.98368,0.0,0.8680748,1.2054246e-06,34.98368,0.3800607,0.005218142
GMM_location_1.00,2.0,0.9,0.0,2.220597,2.9594892e-06,40.42839,0.0,0.8016771,1.1126969e-06,40.42839,0.36101872,0.004933342
GMM_location_1.00,2.0,0.92499995,0.0,2.1605809,2.879502e-06,45.78069,0.0,0.7400191,1.0266094e-06,45.78069,0.34250933,0.0046571544
GMM_location_1.00,2.0,0.9499999,0.0,2.1037235,2.8037261e-06,50.886665,0.0,0.6827265,9.466372e-07,50.886665,0.32453242,0.004389581
GMM_location_1.00,2.0,0.975,0.0,2.0497818,2.7318354e-06,55.63879,0.0,0.6294636,8.7231143e-07,55.63879,0.3070881,0.0041306266
GMM_location_1.00,2.0,1.0,0.0,1.998537,2.6635396e-06,59.978134,0.0,0.5799288,8.032099e-07,59.978134,0.2901767,0.0038803064
GMM_location_1.00,2.0,1.025,0.0,1.9497926,2.5985755e-06,63.88729,0.0,0.53384876,7.3895006e-07,63.88729,0.27379772,0.0036386142
GMM_location_1.00,2.0,1.05,0.0,1.9033691,2.5367046e-06,67.37876,0.0,0.49097672,6.7918637e-07,67.37876,0.2579514,0.0034055596
GMM_location_1.00,2.0,1.075,0.0,1.8591044,2.4777112e-06,70.483284,0.0,0.45108867,6.236057e-07,70.483284,0.24263762,0.0031811497
GMM_location_1.00,2.0,1.0999999,0.0,1.8168522,2.4213998e-06,73.24024,0.0,0.4139818,5.7192443e-07,73.24024,0.22785662,0.002965396
