tau,w
1,0
2,0.05555555555555555
3,0.1111111111111111
4,0.16666666666666666
5,0.16666666666666666
6,0.16666666666666666
7,0.13333333333333333
8,0.09999999999999999
9,0.06666666666666667
10,0.03333333333333333
