s,a,k,h,I
2021-10-26,80+,1,286,3946
2021-10-26,00-04,2,3,2584
2021-10-26,05-14,2,2,15572
2021-10-26,15-34,2,25,28521
2021-10-26,35-59,2,115,33173
2021-10-26,60-79,2,107,10104
2021-10-26,80+,2,104,3946
2021-10-26,00-04,3,2,2584
2021-10-26,05-14,3,2,15572
2021-10-26,15-34,3,16,28521
2021-10-26,35-59,3,49,33173
2021-10-26,60-79,3,41,10104
2021-10-26,80+,3,46,3946
2021-10-26,00-04,4,0,2584
2021-10-26,05-14,4,1,15572
2021-10-26,15-34,4,0,28521
2021-10-26,35-59,4,10,33173
2021-10-26,60-79,4,17,10104
2021-10-26,80+,4,18,3946
2021-10-26,00-04,5,0,2584
2021-10-26,05-14,5,1,15572
2021-10-26,15-34,5,5,28521
2021-10-26,35-59,5,10,33173
2021-10-26,60-79,5,17,10104
2021-10-26,80+,5,14,3946
2021-10-26,00-04,6,0,2584
2021-10-26,05-14,6,1,15572
2021-10-26,15-34,6,1,28521
2021-10-26,35-59,6,5,33173
2021-10-26,60-79,6,4,10104
2021-10-26,80+,6,10,3946
2021-10-26,00-04,7,0,2584
2021-10-26,05-14,7,0,15572
2021-10-26,15-34,7,1,28521
2021-10-26,35-59,7,10,33173
2021-10-26,60-79,7,7,10104
2021-10-26,80+,7,9,3946
2021-10-27,00-04,0,69,2675
2021-10-27,05-14,0,42,16376
2021-10-27,15-34,0,357,29615
2021-10-27,35-59,0,727,34671
2021-10-27,60-79,0,947,10686
2021-10-27,80+,0,941,4052
2021-10-27,00-04,1,15,2675
2021-10-27,05-14,1,9,16376
2021-10-27,15-34,1,97,29615
2021-10-27,35-59,1,343,34671
2021-10-27,60-79,1,358,10686
2021-10-27,80+,1,302,4052
2021-10-27,00-04,2,6,2675
2021-10-27,05-14,2,1,16376
2021-10-27,15-34,2,35,29615
2021-10-27,35-59,2,135,34671
2021-10-27,60-79,2,128,10686
2021-10-27,80+,2,100,4052
2021-10-27,00-04,3,0,2675
2021-10-27,05-14,3,1,16376
2021-10-27,15-34,3,12,29615
2021-10-27,35-59,3,39,34671
2021-10-27,60-79,3,38,10686
2021-10-27,80+,3,38,4052
2021-10-27,00-04,4,0,2675
2021-10-27,05-14,4,1,16376
2021-10-27,15-34,4,2,29615
2021-10-27,35-59,4,18,34671
2021-10-27,60-79,4,24,10686
2021-10-27,80+,4,14,4052
2021-10-27,00-04,5,0,2675
2021-10-27,05-14,5,0,16376
2021-10-27,15-34,5,6,29615
2021-10-27,35-59,5,7,34671
2021-10-27,60-79,5,15,10686
2021-10-27,80+,5,15,4052
2021-10-27,00-04,6,0,2675
2021-10-27,05-14,6,1,16376
2021-10-27,15-34,6,1,29615
2021-10-27,35-59,6,5,34671
2021-10-27,60-79,6,5,10686
2021-10-27,80+,6,12,4052
2021-10-27,00-04,7,0,2675
2021-10-27,05-14,7,0,16376
2021-10-27,15-34,7,1,29615
2021-10-27,35-59,7,7,34671
2021-10-27,60-79,7,8,10686
2021-10-27,80+,7,6,4052
2021-10-28,00-04,0,72,2871
2021-10-28,05-14,0,46,18862
2021-10-28,15-34,0,351,31906
2021-10-28,35-59,0,759,38209
2021-10-28,60-79,0,1021,11931
2021-10-28,80+,0,1024,4412
2021-10-28,00-04,1,11,2871
2021-10-28,05-14,1,10,18862
2021-10-28,15-34,1,124,31906
2021-10-28,35-59,1,370,38209
2021-10-28,60-79,1,390,11931
2021-10-28,80+,1,319,4412
2021-10-28,00-04,2,6,2871
2021-10-28,05-14,2,3,18862
2021-10-28,15-34,2,36,31906
2021-10-28,35-59,2,149,38209
2021-10-28,60-79,2,133,11931
2021-10-28,80+,2,115,4412
2021-10-28,00-04,3,0,2871
2021-10-28,05-14,3,1,18862
2021-10-28,15-34,3,9,31906
2021-10-28,35-59,3,35,38209
2021-10-28,60-79,3,34,11931
2021-10-28,80+,3,32,4412
2021-10-28,00-04,4,0,2871
2021-10-28,05-14,4,1,18862
2021-10-28,15-34,4,6,31906
2021-10-28,35-59,4,25,38209
2021-10-28,60-79,4,25,11931
2021-10-28,80+,4,28,4412
2021-10-28,00-04,5,0,2871
2021-10-28,05-14,5,0,18862
2021-10-28,15-34,5,5,31906
2021-10-28,35-59,5,6,38209
2021-10-28,60-79,5,11,11931
2021-10-28,80+,5,18,4412
2021-10-28,00-04,6,0,2871
2021-10-28,05-14,6,0,18862
2021-10-28,15-34,6,0,31906
2021-10-28,35-59,6,6,38209
2021-10-28,60-79,6,10,11931
2021-10-28,80+,6,6,4412
2021-10-28,00-04,7,0,2871
2021-10-28,05-14,7,0,18862
2021-10-28,15-34,7,0,31906
2021-10-28,35-59,7,5,38209
2021-10-28,60-79,7,6,11931
2021-10-28,80+,7,9,4412
2021-10-29,00-04,0,66,3090
2021-10-29,05-14,0,53,20300
2021-10-29,15-34,0,352,33816
2021-10-29,35-59,0,775,40733
2021-10-29,60-79,0,1025,12892
2021-10-29,80+,0,1096,4786
2021-10-29,00-04,1,14,3090
2021-10-29,05-14,1,6,20300
2021-10-29,15-34,1,125,33816
2021-10-29,35-59,1,418,40733
2021-10-29,60-79,1,428,12892
2021-10-29,80+,1,328,4786
2021-10-29,00-04,2,5,3090
2021-10-29,05-14,2,3,20300
2021-10-29,15-34,2,39,33816
2021-10-29,35-59,2,153,40733
2021-10-29,60-79,2,132,12892
2021-10-29,80+,2,106,4786
2021-10-29,00-04,3,0,3090
2021-10-29,05-14,3,3,20300
2021-10-29,15-34,3,9,33816
2021-10-29,35-59,3,32,40733
2021-10-29,60-79,3,43,12892
2021-10-29,80+,3,46,4786
2021-10-29,00-04,4,0,3090
2021-10-29,05-14,4,0,20300
2021-10-29,15-34,4,5,33816
2021-10-29,35-59,4,19,40733
2021-10-29,60-79,4,30,12892
2021-10-29,80+,4,28,4786
2021-10-29,00-04,5,0,3090
2021-10-29,05-14,5,0,20300
2021-10-29,15-34,5,4,33816
2021-10-29,35-59,5,9,40733
2021-10-29,60-79,5,14,12892
2021-10-29,80+,5,19,4786
2021-10-29,00-04,6,0,3090
2021-10-29,05-14,6,0,20300
2021-10-29,15-34,6,0,33816
2021-10-29,35-59,6,7,40733
2021-10-29,60-79,6,9,12892
2021-10-29,80+,6,7,4786
2021-10-29,00-04,7,0,3090
2021-10-29,05-14,7,0,20300
2021-10-29,15-34,7,0,33816
2021-10-29,35-59,7,7,40733
2021-10-29,60-79,7,9,12892
2021-10-29,80+,7,9,4786
2021-10-30,00-04,0,60,3211
2021-10-30,05-14,0,47,21352
2021-10-30,15-34,0,334,34918
2021-10-30,35-59,0,736,42334
2021-10-30,60-79,0,979,13732
2021-10-30,80+,0,1042,4982
2021-10-30,00-04,1,19,3211
2021-10-30,05-14,1,12,21352
2021-10-30,15-34,1,145,34918
2021-10-30,35-59,1,474,42334
2021-10-30,60-79,1,511,13732
2021-10-30,80+,1,405,4982
2021-10-30,00-04,2,5,3211
2021-10-30,05-14,2,1,21352
2021-10-30,15-34,2,40,34918
2021-10-30,35-59,2,171,42334
2021-10-30,60-79,2,144,13732
2021-10-30,80+,2,111,4982
2021-10-30,00-04,3,1,3211
2021-10-30,05-14,3,4,21352
2021-10-30,15-34,3,13,34918
2021-10-30,35-59,3,38,42334
2021-10-30,60-79,3,46,13732
2021-10-30,80+,3,52,4982
2021-10-30,00-04,4,1,3211
2021-10-30,05-14,4,0,21352
2021-10-30,15-34,4,6,34918
2021-10-30,35-59,4,23,42334
2021-10-30,60-79,4,39,13732
2021-10-30,80+,4,35,4982
2021-10-30,00-04,5,0,3211
2021-10-30,05-14,5,1,21352
2021-10-30,15-34,5,5,34918
2021-10-30,35-59,5,13,42334
2021-10-30,60-79,5,17,13732
2021-10-30,80+,5,21,4982
2021-10-30,00-04,6,0,3211
2021-10-30,05-14,6,0,21352
2021-10-30,15-34,6,1,34918
2021-10-30,35-59,6,9,42334
2021-10-30,60-79,6,9,13732
2021-10-30,80+,6,10,4982
2021-10-30,00-04,7,1,3211
2021-10-30,05-14,7,0,21352
2021-10-30,15-34,7,0,34918
2021-10-30,35-59,7,6,42334
2021-10-30,60-79,7,8,13732
2021-10-30,80+,7,7,4982
2021-10-31,00-04,0,54,3245
2021-10-31,05-14,0,46,22219
2021-10-31,15-34,0,314,35716
2021-10-31,35-59,0,713,43515
2021-10-31,60-79,0,927,14204
2021-10-31,80+,0,1001,5191
2021-10-31,00-04,1,23,3245
2021-10-31,05-14,1,14,22219
2021-10-31,15-34,1,165,35716
2021-10-31,35-59,1,508,43515
2021-10-31,60-79,1,566,14204
2021-10-31,80+,1,458,5191
2021-10-31,00-04,2,3,3245
2021-10-31,05-14,2,2,22219
2021-10-31,15-34,2,38,35716
2021-10-31,35-59,2,186,43515
2021-10-31,60-79,2,168,14204
2021-10-31,80+,2,113,5191
2021-10-31,00-04,3,1,3245
2021-10-31,05-14,3,3,22219
2021-10-31,15-34,3,13,35716
2021-10-31,35-59,3,42,43515
2021-10-31,60-79,3,57,14204
2021-10-31,80+,3,51,5191
2021-10-31,00-04,4,1,3245
2021-10-31,05-14,4,0,22219
2021-10-31,15-34,4,8,35716
2021-10-31,35-59,4,21,43515
2021-10-31,60-79,4,43,14204
2021-10-31,80+,4,37,5191
2021-10-31,00-04,5,0,3245
2021-10-31,05-14,5,1,22219
2021-10-31,15-34,5,4,35716
2021-10-31,35-59,5,11,43515
2021-10-31,60-79,5,13,14204
2021-10-31,80+,5,22,5191
2021-10-31,00-04,6,0,3245
2021-10-31,05-14,6,0,22219
2021-10-31,15-34,6,5,35716
2021-10-31,35-59,6,7,43515
2021-10-31,60-79,6,11,14204
2021-10-31,80+,6,12,5191
2021-10-31,00-04,7,1,3245
2021-10-31,05-14,7,0,22219
2021-10-31,15-34,7,0,35716
2021-10-31,35-59,7,4,43515
2021-10-31,60-79,7,8,14204
2021-10-31,80+,7,9,5191
2021-11-01,00-04,0,66,3352
2021-11-01,05-14,0,52,22981
2021-11-01,15-34,0,326,36827
2021-11-01,35-59,0,741,45089
2021-11-01,60-79,0,970,14916
2021-11-01,80+,0,1049,5397
2021-11-01,00-04,1,16,3352
2021-11-01,05-14,1,10,22981
2021-11-01,15-34,1,155,36827
2021-11-01,35-59,1,524,45089
2021-11-01,60-79,1,585,14916
2021-11-01,80+,1,461,5397
2021-11-01,00-04,2,2,3352
2021-11-01,05-14,2,3,22981
2021-11-01,15-34,2,30,36827
2021-11-01,35-59,2,163,45089
2021-11-01,60-79,2,155,14916
2021-11-01,80+,2,122,5397
2021-11-01,00-04,3,2,3352
2021-11-01,05-14,3,2,22981
2021-11-01,15-34,3,9,36827
2021-11-01,35-59,3,40,45089
2021-11-01,60-79,3,52,14916
2021-11-01,80+,3,53,5397
2021-11-01,00-04,4,0,3352
2021-11-01,05-14,4,0,22981
2021-11-01,15-34,4,10,36827
2021-11-01,35-59,4,20,45089
2021-11-01,60-79,4,42,14916
2021-11-01,80+,4,35,5397
2021-11-01,00-04,5,0,3352
2021-11-01,05-14,5,2,22981
2021-11-01,15-34,5,5,36827
2021-11-01,35-59,5,13,45089
2021-11-01,60-79,5,14,14916
2021-11-01,80+,5,17,5397
2021-11-01,00-04,6,0,3352
2021-11-01,05-14,6,0,22981
2021-11-01,15-34,6,4,36827
2021-11-01,35-59,6,6,45089
2021-11-01,60-79,6,10,14916
2021-11-01,80+,6,12,5397
2021-11-01,00-04,7,1,3352
2021-11-01,05-14,7,0,22981
2021-11-01,15-34,7,0,36827
2021-11-01,35-59,7,6,45089
2021-11-01,60-79,7,12,14916
2021-11-01,80+,7,7,5397
2021-11-02,00-04,0,61,3358
2021-11-02,05-14,0,58,22664
2021-11-02,15-34,0,340,36629
2021-11-02,35-59,0,811,44775
2021-11-02,60-79,0,1068,14889
2021-11-02,80+,0,1115,5340
2021-11-02,00-04,1,16,3358
2021-11-02,05-14,1,6,22664
2021-11-02,15-34,1,125,36629
2021-11-02,35-59,1,451,44775
2021-11-02,60-79,1,493,14889
2021-11-02,80+,1,409,5340
2021-11-02,00-04,2,0,3358
2021-11-02,05-14,2,3,22664
2021-11-02,15-34,2,31,36629
2021-11-02,35-59,2,139,44775
2021-11-02,60-79,2,129,14889
2021-11-02,80+,2,125,5340
2021-11-02,00-04,3,2,3358
2021-11-02,05-14,3,3,22664
2021-11-02,15-34,3,12,36629
2021-11-02,35-59,3,31,44775
2021-11-02,60-79,3,56,14889
2021-11-02,80+,3,55,5340
2021-11-02,00-04,4,0,3358
2021-11-02,05-14,4,0,22664
2021-11-02,15-34,4,6,36629
2021-11-02,35-59,4,17,44775
2021-11-02,60-79,4,37,14889
2021-11-02,80+,4,29,5340
2021-11-02,00-04,5,0,3358
2021-11-02,05-14,5,2,22664
2021-11-02,15-34,5,5,36629
2021-11-02,35-59,5,14,44775
2021-11-02,60-79,5,10,14889
2021-11-02,80+,5,14,5340
2021-11-02,00-04,6,0,3358
2021-11-02,05-14,6,0,22664
2021-11-02,15-34,6,4,36629
2021-11-02,35-59,6,3,44775
2021-11-02,60-79,6,7,14889
2021-11-02,80+,6,14,5340
2021-11-02,00-04,7,1,3358
2021-11-02,05-14,7,0,22664
2021-11-02,15-34,7,0,36629
2021-11-02,35-59,7,6,44775
2021-11-02,60-79,7,12,14889
2021-11-02,80+,7,4,5340
2021-11-03,00-04,0,63,3202
2021-11-03,05-14,0,58,21262
2021-11-03,15-34,0,342,34360
2021-11-03,35-59,0,804,42982
2021-11-03,60-79,0,1192,14583
2021-11-03,80+,0,1211,5400
2021-11-03,00-04,1,5,3202
2021-11-03,05-14,1,8,21262
2021-11-03,15-34,1,106,34360
2021-11-03,35-59,1,432,42982
2021-11-03,60-79,1,475,14583
2021-11-03,80+,1,429,5400
2021-11-03,00-04,2,1,3202
2021-11-03,05-14,2,8,21262
2021-11-03,15-34,2,35,34360
2021-11-03,35-59,2,124,42982
2021-11-03,60-79,2,126,14583
2021-11-03,80+,2,119,5400
2021-11-03,00-04,3,2,3202
2021-11-03,05-14,3,1,21262
2021-11-03,15-34,3,11,34360
2021-11-03,35-59,3,38,42982
2021-11-03,60-79,3,62,14583
2021-11-03,80+,3,67,5400
2021-11-03,00-04,4,1,3202
2021-11-03,05-14,4,0,21262
2021-11-03,15-34,4,5,34360
2021-11-03,35-59,4,20,42982
2021-11-03,60-79,4,34,14583
2021-11-03,80+,4,33,5400
2021-11-03,00-04,5,0,3202
2021-11-03,05-14,5,1,21262
2021-11-03,15-34,5,6,34360
2021-11-03,35-59,5,20,42982
2021-11-03,60-79,5,12,14583
2021-11-03,80+,5,8,5400
2021-11-03,00-04,6,1,3202
2021-11-03,05-14,6,0,21262
2021-11-03,15-34,6,4,34360
2021-11-03,35-59,6,5,42982
2021-11-03,60-79,6,9,14583
2021-11-03,80+,6,19,5400
2021-11-03,00-04,7,2,3202
2021-11-03,05-14,7,1,21262
2021-11-03,15-34,7,2,34360
2021-11-03,35-59,7,12,42982
2021-11-03,60-79,7,17,14583
2021-11-03,80+,7,5,5400
2021-11-04,00-04,0,58,3201
2021-11-04,05-14,0,59,21403
2021-11-04,15-34,0,341,35812
2021-11-04,35-59,0,805,46264
2021-11-04,60-79,0,1224,15870
2021-11-04,80+,0,1250,5724
2021-11-04,00-04,1,8,3201
2021-11-04,05-14,1,11,21403
2021-11-04,15-34,1,92,35812
2021-11-04,35-59,1,459,46264
2021-11-04,60-79,1,494,15870
2021-11-04,80+,1,463,5724
2021-11-04,00-04,2,1,3201
2021-11-04,05-14,2,4,21403
2021-11-04,15-34,2,37,35812
2021-11-04,35-59,2,130,46264
2021-11-04,60-79,2,162,15870
2021-11-04,80+,2,123,5724
2021-11-04,00-04,3,1,3201
2021-11-04,05-14,3,0,21403
2021-11-04,15-34,3,15,35812
2021-11-04,35-59,3,51,46264
2021-11-04,60-79,3,70,15870
2021-11-04,80+,3,80,5724
2021-11-04,00-04,4,0,3201
2021-11-04,05-14,4,0,21403
2021-11-04,15-34,4,9,35812
2021-11-04,35-59,4,20,46264
2021-11-04,60-79,4,33,15870
2021-11-04,80+,4,30,5724
2021-11-04,00-04,5,0,3201
2021-11-04,05-14,5,0,21403
2021-11-04,15-34,5,6,35812
2021-11-04,35-59,5,19,46264
2021-11-04,60-79,5,13,15870
2021-11-04,80+,5,17,5724
2021-11-04,00-04,6,1,3201
2021-11-04,05-14,6,0,21403
2021-11-04,15-34,6,10,35812
2021-11-04,35-59,6,11,46264
2021-11-04,60-79,6,14,15870
2021-11-04,80+,6,17,5724
2021-11-04,00-04,7,2,3201
2021-11-04,05-14,7,0,21403
2021-11-04,15-34,7,2,35812
2021-11-04,35-59,7,12,46264
2021-11-04,60-79,7,17,15870
2021-11-04,80+,7,8,5724
2021-11-05,00-04,0,70,3514
2021-11-05,05-14,0,59,23326
2021-11-05,15-34,0,339,38688
2021-11-05,35-59,0,816,51540
2021-11-05,60-79,0,1276,17539
2021-11-05,80+,0,1306,6395
2021-11-05,00-04,1,9,3514
2021-11-05,05-14,1,21,23326
2021-11-05,15-34,1,98,38688
2021-11-05,35-59,1,498,51540
2021-11-05,60-79,1,508,17539
2021-11-05,80+,1,472,6395
2021-11-05,00-04,2,2,3514
2021-11-05,05-14,2,5,23326
2021-11-05,15-34,2,37,38688
2021-11-05,35-59,2,137,51540
2021-11-05,60-79,2,193,17539
2021-11-05,80+,2,118,6395
2021-11-05,00-04,3,2,3514
2021-11-05,05-14,3,0,23326
2021-11-05,15-34,3,15,38688
2021-11-05,35-59,3,57,51540
2021-11-05,60-79,3,59,17539
2021-11-05,80+,3,80,6395
2021-11-05,00-04,4,2,3514
2021-11-05,05-14,4,0,23326
2021-11-05,15-34,4,12,38688
2021-11-05,35-59,4,20,51540
2021-11-05,60-79,4,34,17539
2021-11-05,80+,4,41,6395
2021-11-05,00-04,5,1,3514
2021-11-05,05-14,5,0,23326
2021-11-05,15-34,5,7,38688
2021-11-05,35-59,5,16,51540
2021-11-05,60-79,5,19,17539
2021-11-05,80+,5,18,6395
2021-11-05,00-04,6,2,3514
2021-11-05,05-14,6,0,23326
2021-11-05,15-34,6,7,38688
2021-11-05,35-59,6,19,51540
2021-11-05,60-79,6,9,17539
2021-11-05,80+,6,21,6395
2021-11-05,00-04,7,0,3514
2021-11-05,05-14,7,0,23326
2021-11-05,15-34,7,2,38688
2021-11-05,35-59,7,13,51540
2021-11-05,60-79,7,15,17539
2021-11-05,80+,7,6,6395
2021-11-06,00-04,0,68,3782
2021-11-06,05-14,0,67,24876
2021-11-06,15-34,0,334,42040
2021-11-06,35-59,0,784,55871
2021-11-06,60-79,0,1181,18892
2021-11-06,80+,0,1282,6902
2021-11-06,00-04,1,9,3782
2021-11-06,05-14,1,23,24876
2021-11-06,15-34,1,127,42040
2021-11-06,35-59,1,540,55871
2021-11-06,60-79,1,614,18892
2021-11-06,80+,1,535,6902
2021-11-06,00-04,2,3,3782
2021-11-06,05-14,2,5,24876
2021-11-06,15-34,2,43,42040
2021-11-06,35-59,2,167,55871
2021-11-06,60-79,2,208,18892
2021-11-06,80+,2,150,6902
2021-11-06,00-04,3,2,3782
2021-11-06,05-14,3,0,24876
2021-11-06,15-34,3,15,42040
2021-11-06,35-59,3,65,55871
2021-11-06,60-79,3,66,18892
2021-11-06,80+,3,96,6902
2021-11-06,00-04,4,3,3782
2021-11-06,05-14,4,0,24876
2021-11-06,15-34,4,13,42040
2021-11-06,35-59,4,24,55871
2021-11-06,60-79,4,33,18892
2021-11-06,80+,4,39,6902
2021-11-06,00-04,5,0,3782
2021-11-06,05-14,5,0,24876
2021-11-06,15-34,5,9,42040
2021-11-06,35-59,5,21,55871
2021-11-06,60-79,5,23,18892
2021-11-06,80+,5,17,6902
2021-11-06,00-04,6,2,3782
2021-11-06,05-14,6,0,24876
2021-11-06,15-34,6,7,42040
2021-11-06,35-59,6,22,55871
2021-11-06,60-79,6,13,18892
2021-11-06,80+,6,26,6902
2021-11-06,00-04,7,0,3782
2021-11-06,05-14,7,0,24876
2021-11-06,15-34,7,3,42040
2021-11-06,35-59,7,12,55871
2021-11-06,60-79,7,16,18892
2021-11-06,80+,7,7,6902
2021-11-07,00-04,0,64,3966
2021-11-07,05-14,0,70,25801
2021-11-07,15-34,0,310,43785
2021-11-07,35-59,0,732,58312
2021-11-07,60-79,0,1111,19769
2021-11-07,80+,0,1226,7183
2021-11-07,00-04,1,15,3966
2021-11-07,05-14,1,24,25801
2021-11-07,15-34,1,152,43785
2021-11-07,35-59,1,556,58312
2021-11-07,60-79,1,681,19769
2021-11-07,80+,1,601,7183
2021-11-07,00-04,2,3,3966
2021-11-07,05-14,2,3,25801
2021-11-07,15-34,2,51,43785
2021-11-07,35-59,2,192,58312
2021-11-07,60-79,2,231,19769
2021-11-07,80+,2,176,7183
2021-11-07,00-04,3,1,3966
2021-11-07,05-14,3,0,25801
2021-11-07,15-34,3,13,43785
2021-11-07,35-59,3,74,58312
2021-11-07,60-79,3,78,19769
2021-11-07,80+,3,108,7183
2021-11-07,00-04,4,3,3966
2021-11-07,05-14,4,0,25801
2021-11-07,15-34,4,14,43785
2021-11-07,35-59,4,27,58312
2021-11-07,60-79,4,33,19769
2021-11-07,80+,4,41,7183
2021-11-07,00-04,5,0,3966
2021-11-07,05-14,5,0,25801
2021-11-07,15-34,5,7,43785
2021-11-07,35-59,5,29,58312
2021-11-07,60-79,5,28,19769
2021-11-07,80+,5,16,7183
2021-11-07,00-04,6,2,3966
2021-11-07,05-14,6,0,25801
2021-11-07,15-34,6,7,43785
2021-11-07,35-59,6,21,58312
2021-11-07,60-79,6,14,19769
2021-11-07,80+,6,24,7183
2021-11-07,00-04,7,0,3966
2021-11-07,05-14,7,0,25801
2021-11-07,15-34,7,4,43785
2021-11-07,35-59,7,11,58312
2021-11-07,60-79,7,18,19769
2021-11-07,80+,7,9,7183
2021-11-08,00-04,0,67,4157
2021-11-08,05-14,0,75,26906
2021-11-08,15-34,0,344,46202
2021-11-08,35-59,0,825,61225
2021-11-08,60-79,0,1224,20830
2021-11-08,80+,0,1323,7487
2021-11-08,00-04,1,18,4157
2021-11-08,05-14,1,25,26906
2021-11-08,15-34,1,139,46202
2021-11-08,35-59,1,496,61225
2021-11-08,60-79,1,627,20830
2021-11-08,80+,1,574,7487
2021-11-08,00-04,2,3,4157
2021-11-08,05-14,2,5,26906
2021-11-08,15-34,2,41,46202
2021-11-08,35-59,2,173,61225
2021-11-08,60-79,2,191,20830
2021-11-08,80+,2,146,7487
2021-11-08,00-04,3,2,4157
2021-11-08,05-14,3,0,26906
2021-11-08,15-34,3,15,46202
2021-11-08,35-59,3,73,61225
2021-11-08,60-79,3,78,20830
2021-11-08,80+,3,109,7487
2021-11-08,00-04,4,3,4157
2021-11-08,05-14,4,0,26906
2021-11-08,15-34,4,14,46202
2021-11-08,35-59,4,25,61225
2021-11-08,60-79,4,32,20830
2021-11-08,80+,4,31,7487
2021-11-08,00-04,5,0,4157
2021-11-08,05-14,5,0,26906
2021-11-08,15-34,5,5,46202
2021-11-08,35-59,5,26,61225
2021-11-08,60-79,5,25,20830
2021-11-08,80+,5,19,7487
2021-11-08,00-04,6,2,4157
2021-11-08,05-14,6,0,26906
2021-11-08,15-34,6,7,46202
2021-11-08,35-59,6,23,61225
2021-11-08,60-79,6,19,20830
2021-11-08,80+,6,24,7487
2021-11-08,00-04,7,0,4157
2021-11-08,05-14,7,0,26906
2021-11-08,15-34,7,5,46202
2021-11-08,35-59,7,10,61225
2021-11-08,60-79,7,14,20830
2021-11-08,80+,7,5,7487
2021-11-09,00-04,0,72,4433
2021-11-09,05-14,0,85,28597
2021-11-09,15-34,0,388,49466
2021-11-09,35-59,0,933,64791
2021-11-09,60-79,0,1414,22009
2021-11-09,80+,0,1528,7863
2021-11-09,00-04,1,20,4433
2021-11-09,05-14,1,21,28597
2021-11-09,15-34,1,133,49466
2021-11-09,35-59,1,480,64791
2021-11-09,60-79,1,627,22009
2021-11-09,80+,1,507,7863
2021-11-09,00-04,2,3,4433
2021-11-09,05-14,2,7,28597
2021-11-09,15-34,2,37,49466
2021-11-09,35-59,2,162,64791
2021-11-09,60-79,2,177,22009
2021-11-09,80+,2,152,7863
2021-11-09,00-04,3,2,4433
2021-11-09,05-14,3,1,28597
2021-11-09,15-34,3,19,49466
2021-11-09,35-59,3,71,64791
2021-11-09,60-79,3,86,22009
2021-11-09,80+,3,93,7863
2021-11-09,00-04,4,2,4433
2021-11-09,05-14,4,1,28597
2021-11-09,15-34,4,10,49466
2021-11-09,35-59,4,29,64791
2021-11-09,60-79,4,35,22009
2021-11-09,80+,4,29,7863
2021-11-09,00-04,5,0,4433
2021-11-09,05-14,5,0,28597
2021-11-09,15-34,5,9,49466
2021-11-09,35-59,5,29,64791
2021-11-09,60-79,5,27,22009
2021-11-09,80+,5,22,7863
2021-11-09,00-04,6,2,4433
2021-11-09,05-14,6,0,28597
2021-11-09,15-34,6,7,49466
2021-11-09,35-59,6,19,64791
2021-11-09,60-79,6,19,22009
2021-11-09,80+,6,22,7863
2021-11-09,00-04,7,0,4433
2021-11-09,05-14,7,0,28597
2021-11-09,15-34,7,5,49466
2021-11-09,35-59,7,8,64791
2021-11-09,60-79,7,11,22009
2021-11-09,80+,7,12,7863
2021-11-10,00-04,0,85,4794
2021-11-10,05-14,0,88,32430
2021-11-10,15-34,0,402,53811
2021-11-10,35-59,0,1008,69794
2021-11-10,60-79,0,1435,23491
2021-11-10,80+,0,1567,8177
2021-11-10,00-04,1,17,4794
2021-11-10,05-14,1,24,32430
2021-11-10,15-34,1,147,53811
2021-11-10,35-59,1,467,69794
2021-11-10,60-79,1,685,23491
2021-11-10,80+,1,487,8177
2021-11-10,00-04,2,2,4794
2021-11-10,05-14,2,4,32430
2021-11-10,15-34,2,45,53811
2021-11-10,35-59,2,193,69794
2021-11-10,60-79,2,183,23491
2021-11-10,80+,2,175,8177
2021-11-10,00-04,3,1,4794
2021-11-10,05-14,3,3,32430
2021-11-10,15-34,3,22,53811
2021-11-10,35-59,3,83,69794
2021-11-10,60-79,3,98,23491
2021-11-10,80+,3,84,8177
2021-11-10,00-04,4,3,4794
2021-11-10,05-14,4,4,32430
2021-11-10,15-34,4,9,53811
2021-11-10,35-59,4,32,69794
2021-11-10,60-79,4,48,23491
2021-11-10,80+,4,38,8177
2021-11-10,00-04,5,0,4794
2021-11-10,05-14,5,0,32430
2021-11-10,15-34,5,12,53811
2021-11-10,35-59,5,33,69794
2021-11-10,60-79,5,32,23491
2021-11-10,80+,5,30,8177
2021-11-10,00-04,6,0,4794
2021-11-10,05-14,6,0,32430
2021-11-10,15-34,6,7,53811
2021-11-10,35-59,6,18,69794
2021-11-10,60-79,6,20,23491
2021-11-10,80+,6,20,8177
2021-11-10,00-04,7,0,4794
2021-11-10,05-14,7,0,32430
2021-11-10,15-34,7,2,53811
2021-11-10,35-59,7,7,69794
2021-11-10,60-79,7,8,23491
2021-11-10,80+,7,10,8177
2021-11-11,00-04,0,88,5263
2021-11-11,05-14,0,92,36640
2021-11-11,15-34,0,412,57487
2021-11-11,35-59,0,973,74006
2021-11-11,60-79,0,1462,24840
2021-11-11,80+,0,1517,8351
2021-11-11,00-04,1,16,5263
2021-11-11,05-14,1,34,36640
2021-11-11,15-34,1,147,57487
2021-11-11,35-59,1,497,74006
2021-11-11,60-79,1,690,24840
2021-11-11,80+,1,491,8351
2021-11-11,00-04,2,6,5263
2021-11-11,05-14,2,4,36640
2021-11-11,15-34,2,57,57487
2021-11-11,35-59,2,223,74006
2021-11-11,60-79,2,238,24840
2021-11-11,80+,2,201,8351
2021-11-11,00-04,3,0,5263
2021-11-11,05-14,3,7,36640
2021-11-11,15-34,3,25,57487
2021-11-11,35-59,3,71,74006
2021-11-11,60-79,3,91,24840
2021-11-11,80+,3,69,8351
2021-11-11,00-04,4,1,5263
