s,a,k,h,I
2021-04-08,00-04,2,1,3487
2021-04-08,05-14,2,0,7705
2021-04-08,15-34,2,30,26587
2021-04-08,35-59,2,148,34569
2021-04-08,60-79,2,207,12410
2021-04-08,80+,2,81,3030
2021-04-08,00-04,3,0,3487
2021-04-08,05-14,3,0,7705
2021-04-08,15-34,3,15,26587
2021-04-08,35-59,3,81,34569
2021-04-08,60-79,3,131,12410
2021-04-08,80+,3,47,3030
2021-04-08,00-04,4,0,3487
2021-04-08,05-14,4,0,7705
2021-04-08,15-34,4,8,26587
2021-04-08,35-59,4,57,34569
2021-04-08,60-79,4,78,12410
2021-04-08,80+,4,26,3030
2021-04-08,00-04,5,0,3487
2021-04-08,05-14,5,1,7705
2021-04-08,15-34,5,4,26587
2021-04-08,35-59,5,18,34569
2021-04-08,60-79,5,33,12410
2021-04-08,80+,5,9,3030
2021-04-08,00-04,6,0,3487
2021-04-08,05-14,6,0,7705
2021-04-08,15-34,6,3,26587
2021-04-08,35-59,6,20,34569
2021-04-08,60-79,6,31,12410
2021-04-08,80+,6,7,3030
2021-04-08,00-04,7,2,3487
2021-04-08,05-14,7,0,7705
2021-04-08,15-34,7,4,26587
2021-04-08,35-59,7,19,34569
2021-04-08,60-79,7,17,12410
2021-04-08,80+,7,13,3030
2021-04-09,00-04,0,66,2612
2021-04-09,05-14,0,54,5757
2021-04-09,15-34,0,400,20103
2021-04-09,35-59,0,1026,26214
2021-04-09,60-79,0,1392,9414
2021-04-09,80+,0,857,2338
2021-04-09,00-04,1,10,2612
2021-04-09,05-14,1,8,5757
2021-04-09,15-34,1,106,20103
2021-04-09,35-59,1,444,26214
2021-04-09,60-79,1,507,9414
2021-04-09,80+,1,227,2338
2021-04-09,00-04,2,1,2612
2021-04-09,05-14,2,1,5757
2021-04-09,15-34,2,34,20103
2021-04-09,35-59,2,171,26214
2021-04-09,60-79,2,229,9414
2021-04-09,80+,2,101,2338
2021-04-09,00-04,3,0,2612
2021-04-09,05-14,3,0,5757
2021-04-09,15-34,3,13,20103
2021-04-09,35-59,3,104,26214
2021-04-09,60-79,3,130,9414
2021-04-09,80+,3,45,2338
2021-04-09,00-04,4,2,2612
2021-04-09,05-14,4,2,5757
2021-04-09,15-34,4,12,20103
2021-04-09,35-59,4,50,26214
2021-04-09,60-79,4,74,9414
2021-04-09,80+,4,22,2338
2021-04-09,00-04,5,1,2612
2021-04-09,05-14,5,3,5757
2021-04-09,15-34,5,1,20103
2021-04-09,35-59,5,26,26214
2021-04-09,60-79,5,41,9414
2021-04-09,80+,5,9,2338
2021-04-09,00-04,6,0,2612
2021-04-09,05-14,6,1,5757
2021-04-09,15-34,6,3,20103
2021-04-09,35-59,6,27,26214
2021-04-09,60-79,6,33,9414
2021-04-09,80+,6,8,2338
2021-04-09,00-04,7,3,2612
2021-04-09,05-14,7,0,5757
2021-04-09,15-34,7,6,20103
2021-04-09,35-59,7,16,26214
2021-04-09,60-79,7,16,9414
2021-04-09,80+,7,13,2338
2021-04-10,00-04,0,71,2673
2021-04-10,05-14,0,57,6228
2021-04-10,15-34,0,435,23282
2021-04-10,35-59,0,1032,30588
2021-04-10,60-79,0,1407,10858
2021-04-10,80+,0,834,2588
2021-04-10,00-04,1,15,2673
2021-04-10,05-14,1,10,6228
2021-04-10,15-34,1,121,23282
2021-04-10,35-59,1,517,30588
2021-04-10,60-79,1,566,10858
2021-04-10,80+,1,246,2588
2021-04-10,00-04,2,1,2673
2021-04-10,05-14,2,0,6228
2021-04-10,15-34,2,36,23282
2021-04-10,35-59,2,217,30588
2021-04-10,60-79,2,262,10858
2021-04-10,80+,2,109,2588
2021-04-10,00-04,3,0,2673
2021-04-10,05-14,3,0,6228
2021-04-10,15-34,3,18,23282
2021-04-10,35-59,3,119,30588
2021-04-10,60-79,3,148,10858
2021-04-10,80+,3,47,2588
2021-04-10,00-04,4,2,2673
2021-04-10,05-14,4,3,6228
2021-04-10,15-34,4,15,23282
2021-04-10,35-59,4,59,30588
2021-04-10,60-79,4,84,10858
2021-04-10,80+,4,28,2588
2021-04-10,00-04,5,1,2673
2021-04-10,05-14,5,3,6228
2021-04-10,15-34,5,2,23282
2021-04-10,35-59,5,25,30588
2021-04-10,60-79,5,38,10858
2021-04-10,80+,5,12,2588
2021-04-10,00-04,6,0,2673
2021-04-10,05-14,6,1,6228
2021-04-10,15-34,6,2,23282
2021-04-10,35-59,6,27,30588
2021-04-10,60-79,6,41,10858
2021-04-10,80+,6,6,2588
2021-04-10,00-04,7,5,2673
2021-04-10,05-14,7,0,6228
2021-04-10,15-34,7,6,23282
2021-04-10,35-59,7,20,30588
2021-04-10,60-79,7,18,10858
2021-04-10,80+,7,14,2588
2021-04-11,00-04,0,68,3640
2021-04-11,05-14,0,54,8798
2021-04-11,15-34,0,427,33073
2021-04-11,35-59,0,1033,42997
2021-04-11,60-79,0,1354,15238
2021-04-11,80+,0,808,3474
2021-04-11,00-04,1,18,3640
2021-04-11,05-14,1,8,8798
2021-04-11,15-34,1,136,33073
2021-04-11,35-59,1,541,42997
2021-04-11,60-79,1,618,15238
2021-04-11,80+,1,282,3474
2021-04-11,00-04,2,1,3640
2021-04-11,05-14,2,0,8798
2021-04-11,15-34,2,40,33073
2021-04-11,35-59,2,239,42997
2021-04-11,60-79,2,279,15238
2021-04-11,80+,2,107,3474
2021-04-11,00-04,3,1,3640
2021-04-11,05-14,3,0,8798
2021-04-11,15-34,3,19,33073
2021-04-11,35-59,3,125,42997
2021-04-11,60-79,3,148,15238
2021-04-11,80+,3,43,3474
2021-04-11,00-04,4,5,3640
2021-04-11,05-14,4,3,8798
2021-04-11,15-34,4,15,33073
2021-04-11,35-59,4,62,42997
2021-04-11,60-79,4,96,15238
2021-04-11,80+,4,35,3474
2021-04-11,00-04,5,0,3640
2021-04-11,05-14,5,4,8798
2021-04-11,15-34,5,3,33073
2021-04-11,35-59,5,26,42997
2021-04-11,60-79,5,40,15238
2021-04-11,80+,5,16,3474
2021-04-11,00-04,6,0,3640
2021-04-11,05-14,6,0,8798
2021-04-11,15-34,6,2,33073
2021-04-11,35-59,6,25,42997
2021-04-11,60-79,6,42,15238
2021-04-11,80+,6,8,3474
2021-04-11,00-04,7,5,3640
2021-04-11,05-14,7,0,8798
2021-04-11,15-34,7,4,33073
2021-04-11,35-59,7,20,42997
2021-04-11,60-79,7,16,15238
2021-04-11,80+,7,13,3474
2021-04-12,00-04,0,76,3841
2021-04-12,05-14,0,56,9362
2021-04-12,15-34,0,465,35142
2021-04-12,35-59,0,1111,45214
2021-04-12,60-79,0,1430,16007
2021-04-12,80+,0,847,3675
2021-04-12,00-04,1,13,3841
2021-04-12,05-14,1,4,9362
2021-04-12,15-34,1,122,35142
2021-04-12,35-59,1,496,45214
2021-04-12,60-79,1,557,16007
2021-04-12,80+,1,248,3675
2021-04-12,00-04,2,1,3841
2021-04-12,05-14,2,0,9362
2021-04-12,15-34,2,42,35142
2021-04-12,35-59,2,238,45214
2021-04-12,60-79,2,261,16007
2021-04-12,80+,2,106,3675
2021-04-12,00-04,3,2,3841
2021-04-12,05-14,3,3,9362
2021-04-12,15-34,3,17,35142
2021-04-12,35-59,3,120,45214
2021-04-12,60-79,3,149,16007
2021-04-12,80+,3,51,3675
2021-04-12,00-04,4,4,3841
2021-04-12,05-14,4,2,9362
2021-04-12,15-34,4,14,35142
2021-04-12,35-59,4,61,45214
2021-04-12,60-79,4,81,16007
2021-04-12,80+,4,31,3675
2021-04-12,00-04,5,1,3841
2021-04-12,05-14,5,4,9362
2021-04-12,15-34,5,5,35142
2021-04-12,35-59,5,26,45214
2021-04-12,60-79,5,45,16007
2021-04-12,80+,5,14,3675
2021-04-12,00-04,6,0,3841
2021-04-12,05-14,6,0,9362
2021-04-12,15-34,6,1,35142
2021-04-12,35-59,6,20,45214
2021-04-12,60-79,6,37,16007
2021-04-12,80+,6,10,3675
2021-04-12,00-04,7,5,3841
2021-04-12,05-14,7,1,9362
2021-04-12,15-34,7,7,35142
2021-04-12,35-59,7,28,45214
2021-04-12,60-79,7,18,16007
2021-04-12,80+,7,10,3675
2021-04-13,00-04,0,85,3974
2021-04-13,05-14,0,61,9711
2021-04-13,15-34,0,499,36468
2021-04-13,35-59,0,1257,46624
2021-04-13,60-79,0,1576,16458
2021-04-13,80+,0,922,3763
2021-04-13,00-04,1,10,3974
2021-04-13,05-14,1,3,9711
2021-04-13,15-34,1,120,36468
2021-04-13,35-59,1,475,46624
2021-04-13,60-79,1,547,16458
2021-04-13,80+,1,234,3763
2021-04-13,00-04,2,1,3974
2021-04-13,05-14,2,0,9711
2021-04-13,15-34,2,35,36468
2021-04-13,35-59,2,230,46624
2021-04-13,60-79,2,272,16458
2021-04-13,80+,2,93,3763
2021-04-13,00-04,3,3,3974
2021-04-13,05-14,3,4,9711
2021-04-13,15-34,3,26,36468
2021-04-13,35-59,3,107,46624
2021-04-13,60-79,3,134,16458
2021-04-13,80+,3,55,3763
2021-04-13,00-04,4,4,3974
2021-04-13,05-14,4,2,9711
2021-04-13,15-34,4,10,36468
2021-04-13,35-59,4,63,46624
2021-04-13,60-79,4,83,16458
2021-04-13,80+,4,26,3763
2021-04-13,00-04,5,1,3974
2021-04-13,05-14,5,2,9711
2021-04-13,15-34,5,6,36468
2021-04-13,35-59,5,29,46624
2021-04-13,60-79,5,48,16458
2021-04-13,80+,5,13,3763
2021-04-13,00-04,6,1,3974
2021-04-13,05-14,6,0,9711
2021-04-13,15-34,6,3,36468
2021-04-13,35-59,6,20,46624
2021-04-13,60-79,6,34,16458
2021-04-13,80+,6,11,3763
2021-04-13,00-04,7,4,3974
2021-04-13,05-14,7,0,9711
2021-04-13,15-34,7,7,36468
2021-04-13,35-59,7,35,46624
2021-04-13,60-79,7,21,16458
2021-04-13,80+,7,15,3763
2021-04-14,00-04,0,87,4221
2021-04-14,05-14,0,67,10739
2021-04-14,15-34,0,515,39903
2021-04-14,35-59,0,1294,50699
2021-04-14,60-79,0,1611,17751
2021-04-14,80+,0,905,3898
2021-04-14,00-04,1,10,4221
2021-04-14,05-14,1,2,10739
2021-04-14,15-34,1,127,39903
2021-04-14,35-59,1,502,50699
2021-04-14,60-79,1,583,17751
2021-04-14,80+,1,242,3898
2021-04-14,00-04,2,2,4221
2021-04-14,05-14,2,0,10739
2021-04-14,15-34,2,47,39903
2021-04-14,35-59,2,249,50699
2021-04-14,60-79,2,291,17751
2021-04-14,80+,2,92,3898
2021-04-14,00-04,3,4,4221
2021-04-14,05-14,3,2,10739
2021-04-14,15-34,3,26,39903
2021-04-14,35-59,3,125,50699
2021-04-14,60-79,3,157,17751
2021-04-14,80+,3,54,3898
