method,log rho,W,q,M,W_q
manual,-8.399410155759854,-7.459402897268383,-4.240527072400182,-3.9322257127456655,-0.421442062631305
initial,-8.74847595478543,-6.915487000523994,-1.9623096210028095,-4.408467682584931,-0.19906519939867703
MLE,-8.748572192219514,-6.915528416888452,-1.9612538197196683,-4.408395015626812,-0.19856771523695624
