method,log rho,W,q,M,W_q
manual,-8.399410155759854,-7.459402897268383,-4.240527072400182,-3.9322257127456655,-0.421442062631305
initial,-9.498473529275838,-7.176173467548741,-3.6539719254915073,-6.063721041508618,-1.9551047388700071
MLE,-9.491311762408754,-7.169415368587823,-3.653227904912465,-6.05426634651309,-1.9544933492369327
