N,method,ef
150000.0,LA,92.75336140655615
150000.0,EIS,97.66752057612173
150000.0,CE,97.55265022275596
150000.0,LA,96.69923728286138
150000.0,EIS,98.95432366156798
150000.0,CE,98.9342204310197
