date,1,2,3,4
2023-08-21,658,398,72,0
2023-08-22,547,393,0,0
2023-08-23,414,0,0,0
2023-08-24,0,0,0,0
2023-08-25,0,0,0,655
2023-08-26,0,0,76,51
2023-08-27,0,20,18,4
2023-08-28,807,375,78,17
2023-08-29,540,396,94,25
2023-08-30,541,370,84,0
2023-08-31,495,383,0,0
2023-09-01,472,0,0,219
2023-09-02,0,0,63,36
2023-09-03,0,39,35,4
2023-09-04,858,471,72,15
2023-09-05,797,571,108,37
2023-09-06,730,428,97,0
2023-09-07,749,506,0,0
2023-09-08,681,0,0,345
2023-09-09,0,0,77,56
2023-09-10,0,54,22,5
2023-09-11,1211,637,146,40
2023-09-12,844,717,98,41
2023-09-13,989,437,114,0
2023-09-14,769,454,0,0
2023-09-15,710,0,0,249
2023-09-16,0,0,119,60
2023-09-17,0,48,21,4
2023-09-18,1181,767,100,27
2023-09-19,865,620,117,35
2023-09-20,845,599,98,0
2023-09-21,903,487,0,0
2023-09-22,710,0,0,275
2023-09-23,0,0,89,52
2023-09-24,0,44,21,3
2023-09-25,1274,671,88,18
2023-09-26,1025,583,112,26
2023-09-27,961,454,120,0
2023-09-28,938,563,0,0
2023-09-29,854,0,0,408
2023-09-30,0,0,151,0
2023-10-01,0,59,0,0
2023-10-02,1259,0,0,965
2023-10-03,0,0,209,7
2023-10-04,0,2435,104,0
2023-10-05,1347,866,0,0
2023-10-06,1327,0,0,545
2023-10-07,0,0,159,53
2023-10-08,0,98,38,5
2023-10-09,2054,809,180,45
2023-10-10,1483,860,171,NA
2023-10-11,1350,708,NA,NA
2023-10-12,1149,NA,NA,NA
