method,log rho,W,q,M
manual,-13.815510557964274,-4.605170185988091,-1.3862943611198906,-9.210340371976182
initial,-8.510854898970004,-7.691462843622975,0.5779217399992015,-4.445763476758061
MLE,-8.510845242723423,-7.691457122484512,0.5795064679171656,-4.445750349834347
